Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
6,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,2032,Indicator for digitization,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,102000,Delayed replication of 2 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,31001,Delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,7062,Depth below sea/water surface,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,22042,Sea/water temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306002,(Current),,2031,Duration and time of current measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306002,(Current),,22004,Direction of current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306002,(Current),,22031,Speed of current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,2002,Type of instrumentation for wind measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,11011,Wind direction at 10 m,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,11012,Wind speed at 10 m,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,12004,Air temperature at 2 m,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,2032,Indicator for digitization,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,2033,Method of salinity/depth measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,103000,Delayed replication of 3 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,31001,Delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,7062,Depth below sea/water surface,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,22043,Sea/water temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,22062,Salinity,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,2031,Duration and time of current measurement,,,Operational
